id,chain_order,margin_m,names,changes,run_lengths_m,min_run_m,start_m,end_m,length_m,chord_m,ratio,max_offset_m
518,111,100,RIEGEL STREET > GREENWAY AVENUE,1,100.000 > 100.000,100.0,310.13749529142865,510.13749529142865,199.99999999999795,135.63260614493933,1.4745716806936122,70.75594269000591
519,112,25,ALANSON ROAD > ROBINEAU ROAD,1,25.000 > 25.000,25.0,569.9617957483756,619.9617957483756,49.99999999981014,49.97134897884983,1.0005733489598698,0.3771311026014643
520,112,50,ALANSON ROAD > ROBINEAU ROAD,1,50.000 > 50.000,50.0,544.9617957483756,644.9617957483756,100.00000000012645,99.86162459710614,1.0013856714586669,2.0856586718914745
521,113,25,RIDGEWOOD DRIVE > NORTHCLIFFE ROAD,1,25.000 > 25.000,25.0,172.49307209774904,222.49307209774904,50.00000000009602,48.486893543465925,1.0312065043984242,5.764463629021026
522,113,50,RIDGEWOOD DRIVE > NORTHCLIFFE ROAD,1,50.000 > 50.000,50.0,147.49307209774904,247.49307209774904,100.00000000018981,92.73932649227464,1.078291203770172,17.088346145100722
523,113,100,RIDGEWOOD DRIVE > NORTHCLIFFE ROAD,1,100.000 > 100.000,100.0,97.49307209774904,297.49307209774906,199.99999999979568,165.34850229675519,1.2095664443385798,50.639440710967484
524,114,25,PARRISH LANE > HAYES TERRACE,1,25.000 > 25.000,25.0,457.3744112166933,507.3744112166933,49.99999999995557,48.185809690299855,1.037649887411167,5.50302010473617
525,114,50,PARRISH LANE > HAYES TERRACE,1,50.000 > 50.000,49.99999999999994,432.3744112166933,532.3744112166933,99.99999999994117,91.33711492407546,1.0948451796738574,17.845006602385517
526,114,100,PARRISH LANE > HAYES TERRACE,1,100.000 > 100.000,99.99999999999994,382.3744112166933,582.3744112166933,200.00000000008805,168.35503626925873,1.1879656494517807,49.84871340645342
527,115,25,EAST WASHINGTON STREET > LOMBARD AVENUE,1,25.000 > 25.000,25.0,155.6045811511415,205.6045811511415,49.9999999999811,49.31692538628784,1.0138507136919606,2.8692180515116847
528,115,50,EAST WASHINGTON STREET > LOMBARD AVENUE,1,50.000 > 50.000,50.0,130.6045811511415,230.6045811511415,99.99999999993975,99.06732098740451,1.0094145981060072,2.7248950333990285
529,115,100,EAST WASHINGTON STREET > LOMBARD AVENUE,1,100.000 > 100.000,99.99999999999997,80.6045811511415,280.6045811511415,200.00000000005204,196.6554205476954,1.0170073087385123,13.99842678047682
530,116,25,BARRINGTON ROAD > BEAUMONT PLACE,1,25.000 > 25.000,25.0,503.19706154374853,553.1970615437485,49.99999999980386,46.68829757486605,1.070932173520086,8.576218138741021
531,116,50,BARRINGTON ROAD > BEAUMONT PLACE,1,50.000 > 50.000,50.0,478.19706154374853,578.1970615437485,99.99999999998894,92.18723244401284,1.0847489109809318,18.9622438327218
532,116,100,BARRINGTON ROAD > BEAUMONT PLACE,1,100.000 > 100.000,100.0,428.19706154374853,628.1970615437485,199.9999999999003,183.1851368054669,1.091791634887332,39.704904419921384
533,117,25,EAST ONONDAGA STREET > MONTGOMERY STREET,1,25.000 > 25.000,25.0,133.37863600829283,183.37863600829283,50.000000000078145,48.15566713602776,1.0382993938977234,5.83388204915552
534,117,50,EAST ONONDAGA STREET > MONTGOMERY STREET,1,50.000 > 50.000,50.0,108.37863600829283,208.37863600829283,99.99999999963512,94.70168565555254,1.0559474132630915,15.033273203839626
535,117,100,EAST ONONDAGA STREET > MONTGOMERY STREET,1,100.000 > 100.000,99.99999999999997,58.37863600829283,258.3786360082928,199.9999999996216,186.3735771642737,1.073113490885767,35.167748732345224
536,118,25,WEST BEARD AVENUE > EAST BEARD AVENUE,1,25.000 > 25.000,25.0,442.5335442994058,492.5335442994058,50.00000000005645,49.9810634135394,1.0003788752224092,0.5488422343501276
537,118,50,WEST BEARD AVENUE > EAST BEARD AVENUE,1,50.000 > 50.000,50.0,417.5335442994058,517.5335442994058,100.00000000010539,99.9638799914896,1.0003613305988008,1.2268771418185576
538,118,100,WEST BEARD AVENUE > EAST BEARD AVENUE,1,100.000 > 100.000,100.0,367.5335442994058,567.5335442994058,200.00000000004087,199.93553911963298,1.0003224083156588,1.5959601193960005
539,119,25,JASPER PLACE > JASPER STREET,1,25.000 > 25.000,25.0,48.784535383745194,98.7845353837452,50.00000000000178,49.99456976894125,1.0001086164174555,0.19090525106721007
540,119,50,JASPER PLACE > JASPER STREET,1,50.000 > 50.000,50.0,23.784535383745194,123.7845353837452,99.99999999998234,99.98671582065083,1.0001328594426018,0.6741562760839076
