order,changes,miles,names,max_join_angle
302,0,0.47678563535637986,FOREST HILL DRIVE,0.6411993831043938
303,0,0.4760697803053656,AINSLEY DRIVE,0.9789434558567135
304,0,0.47365929437720355,TULLY STREET,2.5705622562134804
305,0,0.4731422949251075,CLARENDON STREET,6.892353315972041
306,0,0.47144634285585996,WAVERLY AVENUE,1.0164310355137545
307,0,0.47074737227003793,BRATTLE ROAD,2.3442703240590723
308,0,0.47006146711506425,BOSTON STREET,1.9291013536504653
309,0,0.46535419512493614,COUGHLIN AVENUE,4.178891823906988
310,0,0.4614492524647893,DEMONG DRIVE,22.19873738910497
311,0,0.4580205790175584,SCOVILLE AVENUE,0.7590314370792375
312,0,0.4578764966430448,GENESEE PARK DRIVE,6.672543148254409
313,0,0.45691089287707043,KENWICK DRIVE,7.15439155167321
314,0,0.45388049607801384,HANCOCK DRIVE,0.8555547916797297
315,0,0.4538219011929739,HILLSIDE STREET,1.0214984153004298
316,0,0.453574880491141,LIBERTY STREET,0.6700636873450071
317,0,0.45303735677800483,WEST PLEASANT AVENUE,0.5631407086826578
318,0,0.4520202324179103,SOUTH WEST STREET,4.769584328764978
319,0,0.4495141321393091,HUNT AVENUE,0.6685238555678562
320,0,0.44687255230185874,GRANT BOULEVARD,12.121998690573532
321,0,0.4440907254153203,SCOTTHOLM TERRACE,1.7262942778846138
322,0,0.4439949506298733,EDGEMONT DRIVE,3.461684983395432
323,0,0.443583695251278,HIGHLAND AVENUE,0.7007097917738215
324,0,0.44246568731713537,SLOCUM DRIVE,16.563610676064414
325,0,0.4418499985331967,ROOSEVELT AVENUE,1.4395950018596753
326,0,0.43742000957875016,FITCH STREET,2.044158187793289
327,0,0.43215969548829525,PULASKI STREET,0.7743471488736609
328,0,0.43182424462534924,HICKORY STREET,1.2644343811868626
329,0,0.4314389023139303,VANN STREET,1.9379739633797155
330,0,0.42859358560538896,FABIUS STREET,3.4848932856119705
331,0,0.427275828271663,ACADEMY PLACE,0.9348531039596313
332,0,0.42605710455681944,ACADEMY GREEN,25.286705041386284
333,0,0.42364966850998387,ASH STREET,3.0270658604062533
334,0,0.42310513326603155,ONEIDA STREET,18.817018127443202
335,0,0.42223334585099237,HOOD AVENUE,2.936517859275534
336,0,0.42080980480374414,KELLOGG STREET,0.8867469311111332
337,0,0.41930114610854563,FARMER STREET,1.047907568188636
338,0,0.41626885693953414,GOODRICH AVENUE,0.3720502497234231
339,0,0.41502913185148166,ERIE STREET,0.43265963993147655
340,0,0.4116863017498763,SEDGWICK DRIVE,18.76003595291152
341,0,0.4091028343459795,FOBES AVENUE,1.562237875740008
342,0,0.40758349800936794,HOEFLER STREET,0.6165218927817705
343,0,0.4057673600297745,MARSHALL STREET,0.8414076586345691
344,0,0.405164176967456,HIXSON AVENUE,1.3380550560528
345,0,0.40361563780673376,LAKEVIEW AVENUE,1.0164684371587742
346,0,0.4033053216231026,NOTTINGHAM ROAD,1.5515417589375866
347,0,0.4027248221778171,HOLLAND STREET,0.3457011010451333
