name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
ENFIELD PLACE,36.82661689509971,HILLSBORO PARKWAY,HILLSBORO PARKWAY,True,True,1,477438138,-76.09196856814832,43.040558319397995
HADDON ROAD,37.41100075717708,HILLSBORO PARKWAY,HILLSBORO PARKWAY,True,True,1,477438221,-76.08874101736193,43.04041957896958
FARMER STREET,37.480992916646805,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477430712,-76.13031723717994,43.06459106685028
CIRCLE ROAD,37.6440214957752,ACORN PATH,DEAD END / SAME-NAME BRANCH,False,True,1,477441100,-76.12787277824701,43.03057508837451
AUDUBON PARKWAY,37.976516071988605,FAYETTE BOULEVARD,FAYETTE BOULEVARD,True,True,1,800029908,-76.094974402823,43.04937227180654
DORSET ROAD,37.982753433412846,BERKELEY DRIVE,BERKELEY DRIVE;CIRCLE ROAD,True,True,1,477440406,-76.12766583662987,43.033115577560615
FABIUS STREET,38.10916493930617,WEST STREET ARTERIAL NORTHBOUND,SOUTH WEST STREET,True,True,1,477436771,-76.15821787934523,43.0447729721243
SOUTH SALINA STREET,38.14068985495446,PARRISH LANE,JACLYN DRIVE,True,True,1,477447265,-76.14379075305162,42.98611259841833
MEADOWBROOK DRIVE,38.88166447575897,BRADFORD PARKWAY,BRADFORD PARKWAY,True,True,1,477438199,-76.10629081152108,43.040434127966066
MEADOWBROOK DRIVE,38.88191885774841,BRADFORD PARKWAY,BRADFORD PARKWAY,True,True,1,477438134,-76.10635880635243,43.040556117818824
SOUTH AVENUE,38.9990710400388,CORTLAND AVENUE,CRESCENT AVENUE,True,True,1,477441548,-76.15791578216137,43.028600126864895
STOLP AVENUE,39.095850365054964,MARKLAND AVENUE,HANCOCK DRIVE,True,True,1,477441227,-76.17956130924858,43.029916107034886
BRATTLE ROAD,39.23038745566869,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477431031,-76.12971728176083,43.06333760439442
ARNETT AVENUE,39.33990746617943,MARLBOROUGH ROAD,MARLBOROUGH ROAD,True,True,1,477429582,-76.11206577862413,43.06992764460517
BEAUMONT PLACE,39.543315455969136,DOLL PARKWAY,DOLL PARKWAY,True,True,1,477436763,-76.08761027465255,43.04480160732663
FABIUS STREET,39.78945013148929,COSTELLO COURT,NIAGARA STREET,True,True,1,477437002,-76.16073482178287,43.04414609114577
HAMPSHIRE ROAD,40.00053100831043,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477430502,-76.13182931530906,43.065662920451025
FOXBORO ROAD,40.46741563614225,FAYETTE BOULEVARD,FAYETTE BOULEVARD,True,True,1,477435443,-76.09367939303417,43.04944612159879
HADDON ROAD,40.49230664942117,HILLSBORO PARKWAY,HILLSBORO PARKWAY,True,True,1,477438226,-76.08967377153213,43.04038715001476
EAST ADAMS STREET,40.50080557194633,ALMOND STREET,ALMOND STREET,True,True,2,506022033;477437408,-76.14258758866873,43.04272154835631
DEVINE STREET,40.65716035027802,ERIE BOULEVARD EAST,LOMBARD AVENUE,True,True,1,506021457,-76.11890592980612,43.04985001122853
MOUNTAINVIEW AVENUE,40.72010751296498,FOXBORO ROAD,LIME STREET,True,True,1,800048562,-76.09385926029202,43.05106159411752
BRADFORD PARKWAY,40.827379382911296,SCOTTHOLM BOULEVARD,SCOTTHOLM BOULEVARD,True,True,1,504325054,-76.10680073839404,43.04153772436977
VALLEY DRIVE,40.867505564054674,EAST CHAFFEE AVENUE,CHAFFEE AVENUE,True,True,1,477446193,-76.15286283821152,42.99778859686646
SOUTH AVENUE,41.17836924656175,WEST COLVIN STREET,WEST COLVIN STREET,True,True,1,477442664,-76.15927927117633,43.02318111834593
HILLSBORO PLACE,41.247265369742465,HILLSBORO PARKWAY,HILLSBORO PARKWAY,True,True,1,477438148,-76.08625525701642,43.040559612638795
COURT STREET,41.336463621807134,LOMA AVENUE,LOMA AVENUE,True,True,1,477427743,-76.1446392828464,43.07932465160428
OAK STREET,41.60880373428522,HENDERSON STREET,HAWLEY AVENUE,True,True,1,477433256,-76.13327580197404,43.05515065364391
