name,component,length_ft,full_component_ft,outside_city_ft,wholly_inside,source_segments,source_ids,lon,lat,components_in_city
VILLAGE DRIVE EXTENSION,1,348.6749935003087,348.6749935003087,0.0,True,1,477429429,-76.11972064653807,43.07123863472926,1
BEAUMONT PLACE,1,350.7666077388312,350.7666077388312,0.0,True,2,477436756;477436763,-76.08703589591687,43.044871216053885,1
KINCAID AVENUE,1,351.66810619576137,351.66810619576137,0.0,True,1,477432544,-76.19918230976427,43.0576586119156,1
DOUGALL AVENUE,1,353.0942532244013,353.0942532244013,0.0,True,1,477442271,-76.14044360703535,43.02565006794479,1
LATIMER TERRACE,1,353.4250104732121,353.4250104732121,0.0,True,1,477438523,-76.1466453098532,43.039827653602785,1
STINARD AVENUE,2,353.5323563085185,353.5323563085185,0.0,True,1,477440721,-76.17410579710807,43.03240110508264,2
EDGEWOOD DRIVE,1,354.359621479568,354.359621479568,0.0,True,2,477447041;800054583,-76.13735709356477,42.98872416825288,1
CHATHAM PLACE,1,355.53870338516884,355.53870338516884,0.0,True,1,477427296,-76.1447613539106,43.08218611419904,1
WEST DIVISION STREET,1,356.7041873535875,356.7041873535875,0.0,True,1,477432043,-76.1559609511475,43.05931421952168,2
STACY PLACE,1,357.4949571071928,357.4949571071928,0.0,True,1,477446449,-76.15078159288468,42.9949879529196,1
BRONSON STREET,1,357.99853029649836,357.99853029649836,0.0,True,1,477446612,-76.1453688809743,42.993931904304986,1
PARK AVENUE,3,359.1197970035245,359.1197970035245,0.0,True,1,477434356,-76.15959825469861,43.052036494083225,3
MARJORIE STREET,1,360.9961590173219,360.9961590173219,0.0,True,1,477446615,-76.14644816928728,42.99388828484138,1
CHAVEZ TERRACE,1,361.8748103883647,361.8748103883647,0.0,True,1,477438002,-76.14688331887339,43.04102211003865,1
MONTGOMERY STREET,4,365.1375324790882,365.1375324790882,0.0,True,1,477440007,-76.14823782663316,43.03495714040163,4
ROSEWOOD STREET,1,366.07252535684097,366.07252535684097,0.0,True,2,477432015;477432092,-76.1431002674787,43.05920912314244,1
STEWART COURT,1,366.37682584481075,366.37682584481075,0.0,True,1,513530326,-76.14311282124206,43.04089714523023,1
JAMES HEATH ROAD,1,367.8196980747177,367.8196980747177,0.0,True,1,477431047,-76.12456352128552,43.06351461560247,1
GARY AVENUE,1,370.27449720914444,370.27449720914444,0.0,True,1,477447323,-76.1423582230726,42.98559572142863,1
ACORN PATH,1,373.7679898821417,373.7679898821417,0.0,True,1,477441094,-76.12857375034812,43.03057625326215,1
HARTLEY STREET,1,374.20066524533104,374.20066524533104,0.0,True,1,477429881,-76.1426213835658,43.06852461008589,1
NORTON AVENUE,1,374.29559028159326,374.29559028159326,0.0,True,2,477429248;477429253,-76.1121345788152,43.071714678507924,1
AMIDON DRIVE,1,380.11093319737927,380.11093319737927,0.0,True,1,477446277,-76.14401187505503,42.99665094660663,1
BEACON ROAD,2,380.4074843212145,380.4074843212145,0.0,True,2,477428929;477428948,-76.11232832376257,43.073499354665444,2
UNIVERSITY PLACE,2,380.65066787689807,380.65066787689807,0.0,True,1,511163754,-76.13730828366128,43.0394299014593,2
BRISTOL PLACE,1,381.12053811940154,381.12053811940154,0.0,True,1,477437651,-76.12293448314054,43.042441928649936,1
TRAFFIC CIRCLE,1,381.23448548513403,381.23448548513403,0.0,True,3,600035932;600035934;600035935,-76.12775063803677,43.02493203528751,1
NORMAN AVENUE,1,387.0302952161514,387.0302952161514,0.0,True,1,477446660,-76.15053908316573,42.99280505624426,1
OAKWOOD AVENUE,2,388.0049404087949,388.0049404087949,0.0,True,2,477438555;477438889,-76.1455788342471,43.038849978943944,2
GRANDVIEW AVENUE,1,388.2475377432433,388.2475377432433,0.0,True,1,477440837,-76.17127200840734,43.031550928653786,1
